index,node,level,parents,params,res_gdw_id,res_inflow_flag,res_outflow_flag,res_within_flag
154,420540281,0,,118000.0;304.0;0.45;1.5
155,420540714,0,,46000.0;186.0;0.45;1.67
156,420542127,0,,269000.0;606.0;0.45;1.38
157,420542128,0,,145000.0;284.0;0.44;1.45
158,420542932,0,,125000.0;397.0;0.45;1.52
159,420540716,0,,164000.0;466.0;0.46;1.46
160,420540079,0,,158000.0;350.0;0.46;1.46
161,420539886,0,,138000.0;326.0;0.46;1.52
162,420538811,0,,79000.0;188.0;0.46;1.65
163,420538387,0,,112000.0;117.0;0.46;1.62
164,420536556,0,,236000.0;395.0;0.46;1.43
165,420537777,0,,105000.0;188.0;0.46;1.62
166,420540920,0,,59000.0;117.0;0.46;1.69
167,420539445,0,,92000.0;304.0;0.46;1.65
168,420539025,0,,177000.0;513.0;0.46;1.43
169,420539885,0,,118000.0;304.0;0.46;1.54
170,420538385,0,,190000.0;559.0;0.46;1.43
171,420538576,0,,131000.0;210.0;0.46;1.52
172,420538577,0,,79000.0;93.0;0.46;1.66
173,420537775,0,,158000.0;304.0;0.46;1.44
174,420537776,0,,53000.0;117.0;0.46;1.68
175,420536554,0,,223000.0;744.0;0.46;1.42
176,420535734,0,,557000.0;1517.0;0.46;1.18
177,420536364,0,,105000.0;302.0;0.46;1.62
178,420536555,0,,27000.0;304.0;0.46;1.68
179,420535733,0,,105000.0;210.0;0.46;1.62
180,420534929,0,,236000.0;446.0;0.46;1.42
181,420534930,0,,125000.0;233.0;0.46;1.53
182,420540283,0,,79000.0;210.0;0.45;1.62
183,420539443,0,,125000.0;210.0;0.45;1.51
184,420537980,0,,321000.0;562.0;0.45;1.21
185,420537558,0,,92000.0;188.0;0.46;1.63
186,420536362,0,,112000.0;419.0;0.46;1.64
187,420535341,0,,269000.0;860.0;0.46;1.42
188,420536964,0,,66000.0;188.0;0.45;1.69
189,420535340,0,,197000.0;768.0;0.46;1.43
190,420535532,0,,171000.0;302.0;0.46;1.44
191,420536552,0,,66000.0;117.0;0.45;1.7
192,420536150,0,,14000.0;71.0;0.46;1.69
193,420537162,0,,92000.0;188.0;0.46;1.65
194,420536367,0,,99000.0;304.0;0.46;1.65
195,420535933,0,,79000.0;186.0;0.46;1.66
